player_name,bbref_link,bbref_id,sportsref_id,first_year,last_year
A.J. Hammons,h/hammoaj01,hammoaj01,aj-hammons-1,2017,2017
A.J. Price,p/priceaj01,priceaj01,aj-price-1,2010,2015
Aaron Brooks,b/brookaa01,brookaa01,aaron-brooks-1,2008,2018
Aaron Gordon,g/gordoaa01,gordoaa01,aaron-gordon-1,2015,2019
Aaron Gray,g/grayaa01,grayaa01,aaron-gray-1,2008,2014
Aaron Harrison,h/harriaa01,harriaa01,aaron-harrison-1,2016,2018
Aaron Holiday,h/holidaa01,holidaa01,aaron-holiday-1,2019,2019
Aaron Jackson,j/jacksaa01,jacksaa01,aaron-jackson-1,2018,2018
Aaron McKie,m/mckieaa01,mckieaa01,aaron-mckie-1,2005,2007
Aaron Miles,m/milesaa01,milesaa01,aaron-miles-1,2006,2006
Aaron Williams,w/williaa01,williaa01,aaron-williams-1,2005,2008
Abdel Nader,n/naderab01,naderab01,abdel-nader-1,2018,2019
Acie Law,l/lawac01,lawac01,acie-law-1,2008,2011
Adam Morrison,m/morriad01,morriad01,adam-morrison-1,2007,2010
Adonal Foyle,f/foylead01,foylead01,adonal-foyle-1,2005,2009
Adonis Thomas,t/thomaad01,thomaad01,adonis-thomas-1,2014,2014
Adreian Payne,p/paynead01,paynead01,adreian-payne-1,2015,2018
Adrian Griffin,g/griffad01,griffad01,adrian-griffin-1,2005,2008
Al Harrington,h/harrial01,harrial01,,2005,2014
Al Horford,h/horfoal01,horfoal01,al-horford-1,2008,2019
Al Jefferson,j/jeffeal01,jeffeal01,,2005,2018
Al Thornton,t/thornal01,thornal01,al-thornton-1,2008,2011
Al-Farouq Aminu,a/aminual01,aminual01,al-farouq-aminu-1,2011,2019
Alan Anderson,a/anderal01,anderal01,alan-anderson-1,2006,2017
Alan Henderson,h/hendeal01,hendeal01,alan-henderson-1,2005,2007
Alan Williams,w/willial03,willial03,alan-williams-2,2016,2019
Alando Tucker,t/tuckeal02,tuckeal02,alando-tucker-1,2008,2010
Alec Burks,b/burksal01,burksal01,alec-burks-1,2012,2019
Alec Peters,p/peteral01,peteral01,alec-peters-1,2018,2018
Aleksandar Radojevic,r/radojal01,radojal01,,2005,2005
Alex Abrines,a/abrinal01,abrinal01,alex-abrines-1,2017,2019
Alex Acker,a/ackeral01,ackeral01,alex-acker-1,2006,2009
Alex Caruso,c/carusal01,carusal01,alex-caruso-1,2018,2019
Alex Garcia,g/garcial01,garcial01,,2005,2005
Alex Kirk,k/kirkal01,kirkal01,alex-kirk-2,2015,2015
Alex Len,l/lenal01,lenal01,alex-len-1,2014,2019
Alex Poythress,p/poythal01,poythal01,alex-poythress-1,2017,2019
Alex Scales,s/scaleal01,scaleal01,alex-scales-1,2006,2006
Alex Stepheson,s/stephal01,stephal01,alex-stepheson-1,2016,2016
Alexander Johnson,j/johnsal01,johnsal01,alexander-johnson-1,2007,2008
Alexey Shved,s/shvedal01,shvedal01,,2013,2015
Alexis Ajinca,a/ajincal01,ajincal01,,2009,2017
Alfonzo McKinnie,m/mckinal01,mckinal01,alfonzo-mckinnie-1,2018,2019
Alize Johnson,j/johnsal02,johnsal02,alize-johnson-1,2019,2019
Allan Houston,h/houstal01,houstal01,allan-houston-1,2005,2005
Allan Ray,r/rayal01,rayal01,allan-ray-1,2007,2007
Allen Crabbe,c/crabbal01,crabbal01,allen-crabbe-1,2014,2019
Allen Iverson,i/iversal01,iversal01,allen-iverson-1,2005,2010
Allonzo Trier,t/trieral01,trieral01,allonzo-trier-1,2019,2019
Alonzo Gee,g/geeal01,geeal01,alonzo-gee-1,2010,2017
Alonzo Mourning,m/mournal01,mournal01,alonzo-mourning-1,2005,2008
Alvin Williams,w/willial02,willial02,alvin-williams-1,2006,2007
Amar'e Stoudemire,s/stoudam01,stoudam01,,2005,2016
Amile Jefferson,j/jeffeam01,jeffeam01,amile-jefferson-1,2019,2019
Amir Johnson,j/johnsam01,johnsam01,,2006,2019
Anderson Varejao,v/varejan01,varejan01,,2005,2017
Andray Blatche,b/blatcan01,blatcan01,,2006,2014
Andre Barrett,b/barrean01,barrean01,andre-barrett-1,2005,2008
Andre Brown,b/brownan01,brownan01,andre-brown-1,2007,2009
Andre Dawkins,d/dawkian01,dawkian01,andre-dawkins-1,2015,2015
Andre Drummond,d/drumman01,drumman01,andre-drummond-1,2013,2019
Andre Emmett,e/emmetan01,emmetan01,andre-emmett-1,2005,2012
Andre Iguodala,i/iguodan01,iguodan01,andre-iguodala-1,2005,2019
Andre Ingram,i/ingraan01,ingraan01,andre-ingram-1,2018,2019
Andre Miller,m/millean02,millean02,andre-miller-1,2005,2016
Andre Owens,o/owensan01,owensan01,andre-owens-1,2006,2008
Andre Roberson,r/roberan03,roberan03,andre-roberson-1,2014,2018
Andrea Bargnani,b/bargnan01,bargnan01,,2007,2016
Andreas Glyniadakis,g/glynian01,glynian01,,2007,2007
Andrei Kirilenko,k/kirilan01,kirilan01,,2005,2015
Andres Nocioni,n/nocioan01,nocioan01,,2005,2012
