"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1","Allen Iverson","Allen","Iverson","allen","iverson",NA,"366/allen-iverson",366,"allen-iverson",2005,2010
"2","Amar'e Stoudemire","Amar'e","Stoudemire","amare","stoudemire",NA,"1727/amar'e-stoudemire",1727,"amar'e-stoudemire",2005,2016
"3","Antawn Jamison","Antawn","Jamison","antawn","jamison",NA,"385/antawn-jamison",385,"antawn-jamison",2005,2014
"4","Antoine Walker","Antoine","Walker","antoine","walker",NA,"881/antoine-walker",881,"antoine-walker",2005,2008
"5","Baron Davis","Baron","Davis","baron","davis",NA,"194/baron-davis",194,"baron-davis",2005,2012
"6","Carlos Boozer","Carlos","Boozer","carlos","boozer",NA,"1703/carlos-boozer",1703,"carlos-boozer",2005,2015
"7","Carmelo Anthony","Carmelo","Anthony","carmelo","anthony",NA,"1975/carmelo-anthony",1975,"carmelo-anthony",2005,2019
"8","Chris Webber","Chris","Webber","chris","webber",NA,"897/chris-webber",897,"chris-webber",2005,2008
"9","Corey Maggette","Corey","Maggette","corey","maggette",NA,"497/corey-maggette",497,"corey-maggette",2005,2013
"10","Dirk Nowitzki","Dirk","Nowitzki","dirk","nowitzki",NA,"609/dirk-nowitzki",609,"dirk-nowitzki",2005,2019
"11","Dwyane Wade","Dwyane","Wade","dwyane","wade",NA,"1987/dwyane-wade",1987,"dwyane-wade",2005,2019
"12","Elton Brand","Elton","Brand","elton","brand",NA,"91/elton-brand",91,"elton-brand",2005,2016
"13","Gilbert Arenas","Gilbert","Arenas","gilbert","arenas",NA,"974/gilbert-arenas",974,"gilbert-arenas",2005,2012
"14","Grant Hill","Grant","Hill","grant","hill",NA,"336/grant-hill",336,"grant-hill",2005,2013
"15","Jalen Rose","Jalen","Rose","jalen","rose",NA,"738/jalen-rose",738,"jalen-rose",2005,2007
"16","Jason Richardson","Jason","Richardson","jason","richardson",NA,"1018/jason-richardson",1018,"jason-richardson",2005,2015
"17","Jermaine O'Neal","Jermaine","O'Neal","jermaine","oneal",NA,"615/jermaine-o'neal",615,"jermaine-o'neal",2005,2014
"18","Kevin Garnett","Kevin","Garnett","kevin","garnett",NA,"261/kevin-garnett",261,"kevin-garnett",2005,2016
"19","Kobe Bryant","Kobe","Bryant","kobe","bryant",NA,"110/kobe-bryant",110,"kobe-bryant",2005,2016
"20","Larry Hughes","Larry","Hughes","larry","hughes",NA,"356/larry-hughes",356,"larry-hughes",2005,2012
"21","LeBron James","LeBron","James","lebron","james",NA,"1966/lebron-james",1966,"lebron-james",2005,2019
"22","Metta World Peace","Metta","World Peace","metta","world peace",NA,"25/metta-world-peace",25,"metta-world-peace",2005,2017
"23","Michael Redd","Michael","Redd","michael","redd",NA,"692/michael-redd",692,"michael-redd",2005,2012
"24","Mike Bibby","Mike","Bibby","mike","bibby",NA,"61/mike-bibby",61,"mike-bibby",2005,2012
"25","Paul Pierce","Paul","Pierce","paul","pierce",NA,"662/paul-pierce",662,"paul-pierce",2005,2017
"26","Peja Stojakovic","Peja","Stojakovic","peja","stojakovic",NA,"813/peja-stojakovic",813,"peja-stojakovic",2005,2011
"27","Rashard Lewis","Rashard","Lewis","rashard","lewis",NA,"469/rashard-lewis",469,"rashard-lewis",2005,2014
"28","Ray Allen","Ray","Allen","ray","allen",NA,"9/ray-allen",9,"ray-allen",2005,2014
"29","Richard Hamilton","Richard","Hamilton","richard","hamilton",NA,"294/richard-hamilton",294,"richard-hamilton",2005,2013
"30","Richard Jefferson","Richard","Jefferson","richard","jefferson",NA,"1006/richard-jefferson",1006,"richard-jefferson",2005,2018
"31","Shaquille O'Neal","Shaquille","O'Neal","shaquille","oneal",NA,"614/shaquille-o'neal",614,"shaquille-o'neal",2005,2011
"32","Shawn Marion","Shawn","Marion","shawn","marion",NA,"510/shawn-marion",510,"shawn-marion",2005,2015
"33","Stephen Jackson","Stephen","Jackson","stephen","jackson",NA,"378/stephen-jackson",378,"stephen-jackson",2005,2014
"34","Stephon Marbury","Stephon","Marbury","stephon","marbury",NA,"509/stephon-marbury",509,"stephon-marbury",2005,2009
"35","Steve Francis","Steve","Francis","steve","francis",NA,"255/steve-francis",255,"steve-francis",2005,2008
"36","Tim Duncan","Tim","Duncan","tim","duncan",NA,"215/tim-duncan",215,"tim-duncan",2005,2016
"37","Tracy McGrady","Tracy","McGrady","tracy","mcgrady",NA,"532/tracy-mcgrady",532,"tracy-mcgrady",2005,2012
"38","Vince Carter","Vince","Carter","vince","carter",NA,"136/vince-carter",136,"vince-carter",2005,2019
"39","Yao Ming","Yao","Ming","yao","ming",NA,"1722/yao-ming",1722,"yao-ming",2005,2011
"40","Zach Randolph","Zach","Randolph","zach","randolph",NA,"1017/zach-randolph",1017,"zach-randolph",2005,2018
"41","Al Harrington","Al","Harrington","al","harrington",NA,"308/al-harrington",308,"al-harrington",2005,2014
"42","Andrei Kirilenko","Andrei","Kirilenko","andrei","kirilenko",NA,"434/andrei-kirilenko",434,"andrei-kirilenko",2005,2015
"43","Ben Gordon","Ben","Gordon","ben","gordon",NA,"2381/ben-gordon",2381,"ben-gordon",2005,2015
"44","Bobby Simmons","Bobby","Simmons","bobby","simmons",NA,"1022/bobby-simmons",1022,"bobby-simmons",2005,2012
"45","Brad Miller","Brad","Miller","brad","miller",NA,"556/brad-miller",556,"brad-miller",2005,2012
"46","Caron Butler","Caron","Butler","caron","butler",NA,"1705/caron-butler",1705,"caron-butler",2005,2016
"47","Chauncey Billups","Chauncey","Billups","chauncey","billups",NA,"63/chauncey-billups",63,"chauncey-billups",2005,2014
"48","Chris Bosh","Chris","Bosh","chris","bosh",NA,"1977/chris-bosh",1977,"chris-bosh",2005,2016
"49","Cuttino Mobley","Cuttino","Mobley","cuttino","mobley",NA,"566/cuttino-mobley",566,"cuttino-mobley",2005,2009
